CrashId,Town Name,Date Of Crash,Time of Crash,Route Class
1297470,Southington,2004-05-07,12:12:00,State
1297471,Ledyard,2004-05-08,15:20:00,State
1297472,New Haven,2004-05-10,15:17:00,Local
1297473,Hartford,2004-05-10,21:28:00,Local
1297474,Wallingford,2004-05-11,0:12:00,State
1297475,Hartford,2004-05-08,0:49:00,Local
1297476,Norwich,2004-05-12,17:28:00,State
1297477,New Milford,2004-05-12,15:35:00,Local
1297478,Fairfield,2004-05-13,20:51:00,Local
1297479,Plymouth,2004-05-16,1:54:00,Local
1297480,Derby,2004-05-19,14:00:00,State
1297481,Wallingford,2004-05-21,19:08:00,Interstate
1297482,Norwalk,2004-05-22,13:24:00,USRoute
1297483,Hartford,2004-05-24,18:33:00,Local
1297484,Bridgeport,2004-05-25,18:58:00,USRoute
1297485,Southington,2004-05-26,13:43:00,State
1297486,Berlin,2004-05-27,4:17:00,State
1297487,Bristol,2004-05-27,11:03:00,Local
1297488,Kent,2004-05-16,14:56:00,USRoute
1297489,Montville,2004-05-29,20:47:00,Local
1297490,Cheshire,2004-05-30,18:40:00,Local
1297491,Danbury,2004-06-02,1:41:00,State
1297492,Monroe,2004-06-02,14:37:00,State
1297493,Orange,2004-06-02,21:59:00,Interstate
1297494,North Haven,2004-01-27,19:00:00,Interstate
1297495,Vernon,2004-06-04,8:52:00,Interstate
1297496,Windsor Locks,2004-06-09,21:44:00,State
1297497,Sherman,2004-06-11,21:07:00,State
1297498,Shelton,2004-06-14,10:02:00,State
1297499,Hartford,2004-06-03,23:44:00,Local
1297500,Plymouth,2004-06-17,16:23:00,Local
1297501,Tolland,2004-06-19,1:42:00,Local
1297502,Chester,2004-06-19,2:24:00,State
1297503,Meriden,2004-06-20,19:36:00,Interstate
1297504,East Hartford,2004-06-21,14:41:00,State
1297505,Hartford,2004-06-21,23:42:00,Local
1297506,Canterbury,2004-06-23,21:02:00,Local
1297507,Deep River,2004-06-24,15:25:00,State
1297508,New Haven,2004-06-26,1:59:00,USRoute
1297509,Salem,2004-06-30,14:13:00,State
1297510,Bridgeport,2004-06-30,19:22:00,Local
1297511,Colchester,2004-06-30,20:59:00,State
1297512,Washington,2004-07-01,20:37:00,Local
1297513,Stamford,2004-07-10,3:07:00,Local
1297514,Simsbury,2004-07-06,22:16:00,State
1297515,Windsor,2004-07-11,15:18:00,Interstate
1297516,Milford,2004-06-14,7:14:00,Local
1297517,Derby,2004-03-30,15:01:00,Local
1297518,Vernon,2004-07-02,19:33:00,Interstate
1297519,Bridgeport,2004-07-01,19:40:00,Local
1297520,Berlin,2004-07-08,7:30:00,State
1297521,Kent,2004-07-10,2:22:00,USRoute
1297522,Killingly,2004-07-11,2:50:00,State
1297523,Bridgewater,2004-07-11,19:04:00,State
1297524,Washington,2004-07-11,21:45:00,USRoute
1297525,Norfolk,2004-07-13,2:34:00,State
1297526,Darien,2004-07-15,22:40:00,Interstate
1297527,Preston,2004-07-19,0:15:00,State
1297528,Waterbury,2004-07-10,14:34:00,State
1297529,Norwich,2004-07-20,1:42:00,Local
1297530,Woodbridge,2004-07-21,21:33:00,State
1297531,Groton,2004-07-22,19:35:00,Local
1297532,Orange,2004-07-25,6:06:00,State
1297533,East Haddam,2004-07-25,16:46:00,State
1297534,West Haven,2004-07-25,20:48:00,Interstate
1297535,Easton,2004-07-28,4:33:00,State
1297536,Griswold,2004-07-30,21:59:00,State
1297537,Norfolk,2004-08-03,12:57:00,USRoute
1297538,Montville,2004-08-06,17:11:00,State
